,eps,minPts,sh,ri,ari,clusters,clusters_size
58,7.5,6,0.6192303561374815,0.11712036703962315,0.0008822177265233592,20,"[   99 63142   483    15     9    11   186    24    63    69     6    35
    10    11    11    17     8    27     6     7]"
59,7.5,8,0.6181054019633901,0.11717164818518326,0.0008841972254881367,17,"[  122 63140   482    14     9    11   186    24    63    69    35    10
    11    11    17     8    27]"
60,8.0,2,0.6174285760196188,0.11679092900820645,0.0008495081315935016,33,"[   46 63154   483    36    15     9    11     8   186    24     3    63
    69     6     6    21    11     3    17     8     4     3    27     2
     6     2     3     3     2     2     2     2     2]"
61,8.0,4,0.618505870789676,0.11679096293456541,0.0008503516763567075,21,"[   76 63154   483    36    15     9    11     7   186    24    63    69
     6     6    21    11    17     8    27     6     4]"
62,8.0,6,0.6187781601383258,0.11681626569774264,0.0008509580016227875,19,"[   89 63153   483    35    15     9    11   186    24    63    69     6
    21    11    17     8    27     6     6]"
63,8.0,8,0.618119610966607,0.11709319832670292,0.0008807280590505754,16,"[  119 63143   482    35    14     9    11   186    24    63    69    21
    11    17     8    27]"
64,8.5,2,0.6175936499612106,0.11670921543399383,0.0008426192290554809,33,"[   38 63157   484    36    15     9    12     8   186    24     3    63
    69     6     6    21    11     3    25     2     4     4    27     2
     6     2     3     3     2     2     2     2     2]"
65,8.5,4,0.6187263154869082,0.11670920137878797,0.0008432709423574454,21,"[   67 63157   484    36    15     9    12     7   186    24    63    69
     6     6    21    11    25    27     6     4     4]"
66,8.5,6,0.6189610413158314,0.11676069335243593,0.0008451383359914089,18,"[   84 63155   484    36    15     9    12   186    24    63    69     6
    21    11    25    27     6     6]"
67,8.5,8,0.6182788387627814,0.11695998163161012,0.0008721961667007014,15,"[  110 63148   483    36    15     9    12   186    24    63    69    21
    11    25    27]"
68,9.0,2,0.6399726468802434,0.1116881584116655,0.0006768126577968914,30,"[   34 63350   563    36     9    12     8    24     3    69     6    21
    11     3    25     2     4     4     2    27     2     6     2     3
     3     2     2     2     2     2]"
69,9.0,4,0.6414126725652327,0.11168813563253877,0.000677455574821377,17,"[   65 63350   563    36     9    12     7    24    69     6    21    11
    25    27     6     4     4]"
70,9.0,6,0.6350932940004317,0.11170997936108855,0.0006706831459890732,15,"[   81 63349   549    36    14     9    12    24    69     6    21    11
    25    27     6]"
